value,activity_id,administrative_classification_id,date_id,economic_classification_id,fin_source_id,functional_classification_id
500,66,13,3,2,1,1
15500,66,13,1,11,1,1
500,66,13,2,11,1,1
500,66,13,3,11,1,1
130000,67,13,1,28,1,1
130000,67,13,2,28,1,1
130000,67,13,3,28,1,1
47500,67,13,1,30,1,1
90000,67,13,2,30,1,1
90000,67,13,3,30,1,1
5000,67,13,1,34,1,1
15000,67,13,2,34,1,1
15000,67,13,3,34,1,1
625000,25,14,1,1,1,1
621000,25,14,2,1,1,1
625000,25,14,3,1,1,1
21500,25,14,1,2,1,1
17000,25,14,2,2,1,1
17000,25,14,3,2,1,1
107600,25,14,1,3,1,1
108000,25,14,2,3,1,1
108000,25,14,3,3,1,1
114600,25,14,1,4,1,1
55600,25,14,2,4,1,1
55600,25,14,3,4,1,1
30250,25,14,1,5,1,1
35250,25,14,2,5,1,1
35250,25,14,3,5,1,1
101000,25,14,1,6,1,1
64500,25,14,2,6,1,1
64500,25,14,3,6,1,1
75200,25,14,1,8,1,1
75200,25,14,2,8,1,1
75200,25,14,3,8,1,1
610,25,14,1,11,1,1
110,25,14,2,11,1,1
110,25,14,3,11,1,1
5000,25,14,1,30,1,1
1000,25,14,2,30,1,1
1000,25,14,3,30,1,1
16000,29,14,1,28,1,1
